Designator,Mid X,Mid Y,Layer,Rotation
C1,38.10,69.85,Bottom,90.0
C2,41.27,69.85,Bottom,90.0
C3,44.45,69.85,Bottom,90.0
C4, 6.35,42.55,Bottom,180.0
C5, 6.35,38.73,Bottom,180.0
C6, 6.35,35.56,Bottom,180.0
C7, 6.35,16.51,Bottom,180.0
C8, 6.35,20.32,Bottom,180.0
C9, 6.35,24.13,Bottom,180.0
C10,35.56,22.86,Bottom,90.0
C11,39.37,22.86,Bottom,90.0
C12,43.18,22.86,Bottom,90.0
C13,46.99,22.86,Bottom,90.0
C14,54.61,22.86,Bottom,90.0
C15,35.56,12.70,Bottom,270.0
R5,63.50,35.56,Bottom,90.0
R6,63.50,22.86,Bottom,270.0
R7,52.07,35.56,Bottom,270.0
R8,67.31,35.56,Bottom,270.0
R9,46.99,35.56,Bottom,270.0
R10,39.37,35.56,Bottom,270.0
R11,59.69,35.56,Bottom,270.0
R12,55.88,35.56,Bottom,270.0
R13,50.80,22.86,Bottom,90.0
R14,47.63,69.85,Bottom,90.0
R15,50.80,69.85,Bottom,270.0
R16,79.38,57.15,Bottom,180.0
R17,79.38,53.34,Bottom,180.0
R18, 6.99,71.76,Bottom,0.0
